Chemical compound	Metabolic activity	Microbial species or host cell type
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Proteus mirabilis
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Pseudomonas aeruginosa
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Ruminococcus bromii
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Salmonella enterica
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Shigella flexneri
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Shigella sonnei
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Staphylococcus aureus
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Streptomyces griseus
Adipate	Consumption (import)	Acidovorax avenae
Adipate	Consumption (import)	Acidovorax delafieldii
Alginate	Macromolecule degradation	Bacteroides ovatus
alpha-ketoglutarate (2-oxoglutarate)	Consumption (import)	Aeromicrobium marinum
alpha-Linolenic acid (Omega-3 fatty acid)	Consumption (import)	Butyrivibrio fibrisolvens
alpha-Linolenic acid (Omega-3 fatty acid)	Consumption (import)	Ruminococcus albus
alpha-Tocopherol (Vitamin E, alpha-Tocotrienol)	Consumption (import)	Colonocyte (host colon)
Anthranilate (o-amino-benzoic acid)	Consumption (import)	Colonocyte (host colon)
Arabinogalactan	Macromolecule degradation	Bacteroides ovatus
Arabinogalactan	Macromolecule degradation	Bacteroides thetaiotaomicron
Arabinogalactan	Macromolecule degradation	Bacteroides vulgatus
Arabinogalactan	Macromolecule degradation	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Arachidate (Arachidic acid)	Consumption (import)	Colonocyte (host colon)
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Consumption (import)	Colonocyte (host colon)
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Production (export)	Gluconobacter oxydans
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Production (export)	Ketogulonicigenium vulgare
Benzaldehyde	Consumption (import)	Geobacter metallireducens
Benzoate	Consumption (import)	Geobacter metallireducens
Benzoate	Consumption (import)	Klebsiella pneumoniae
Benzoate	Consumption (import)	Methylobacterium nodulans
Benzoate	Consumption (import)	Syntrophomonas wolfei
Benzoate	Consumption (import)	Syntrophus aciditrophicus
Benzyl alcohol	Consumption (import)	Geobacter metallireducens
beta-alanine (3-Aminopropionate)	Consumption (import)	Brucella suis
beta-alanine (3-Aminopropionate)	Consumption (import)	Corynebacterium diphtheriae
Betaine (Glycine betaine)	Consumption (import)	Acetohalobium arabaticum
Betaine (Glycine betaine)	Consumption (import)	Escherichia coli
Betaine (Glycine betaine)	Consumption (import)	Methanosaeta thermophila
Betaine (Glycine betaine)	Consumption (import)	Methanosarcina mazei
Betaine (Glycine betaine)	Consumption (import)	Methylobacterium nodulans
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Bacteroides fragilis
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Production (export)	Colonocyte (host colon)
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Desulfobulbus propionicus
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Methanobrevibacter smithii
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Pelobacter propionicus
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Ruminococcus bromii
Biotin (Vitamin B7)	Consumption (import)	Bacillus subtilis
Biotin (Vitamin B7)	Production (export)	Baumannia cicadellinicola
Biotin (Vitamin B7)	Production (export)	Bifidobacterium adolescentis
Biotin (Vitamin B7)	Production (export)	Bifidobacterium bifidum
Biotin (Vitamin B7)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Biotin (Vitamin B7)	Consumption (import)	Brevibacillus brevis
Biotin (Vitamin B7)	Consumption (import)	Brucella abortus
Biotin (Vitamin B7)	Consumption (import)	Brucella melitensis
Biotin (Vitamin B7)	Consumption (import)	Brucella suis
Biotin (Vitamin B7)	Consumption (import)	Clostridium acetobutylicum
Biotin (Vitamin B7)	Consumption (import)	Clostridium botulinum
Biotin (Vitamin B7)	Consumption (import)	Clostridium butyricum
Biotin (Vitamin B7)	Consumption (import)	Clostridium sporogenes
Biotin (Vitamin B7)	Consumption (import)	Clostridium tetani
Biotin (Vitamin B7)	Consumption (import)	Colonocyte (host colon)
Biotin (Vitamin B7)	Consumption (import)	Deinococcus radiodurans
Biotin (Vitamin B7)	Production (export)	Escherichia coli
Biotin (Vitamin B7)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)
Biotin (Vitamin B7)	Consumption (import)	Lactobacillus acidophilus
Biotin (Vitamin B7)	Consumption (import)	Lactobacillus casei
Biotin (Vitamin B7)	Consumption (import)	Leuconostoc mesenteroides
Biotin (Vitamin B7)	Consumption (import)	Listeria monocytogenes
Biotin (Vitamin B7)	Consumption (import)	Paenibacillus larvae
Biotin (Vitamin B7)	Consumption (import)	Paenibacillus polymyxa
Biotin (Vitamin B7)	Consumption (import)	Rhizobium leguminosarum
Biotin (Vitamin B7)	Consumption (import)	Rhodobacter capsulatus
Biotin (Vitamin B7)	Consumption (import)	Rhodospirillum rubrum
Biotin (Vitamin B7)	Consumption (import)	Ruminococcus albus
Biotin (Vitamin B7)	Consumption (import)	Ruminococcus bromii
Biotin (Vitamin B7)	Consumption (import)	Staphylococcus aureus
Biotin (Vitamin B7)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)
Biotin (Vitamin B7)	Consumption (import)	Streptococcus salivarius
Butanol	Consumption (import)	Bilophila wadsworthia
Butanol	Production (export)	Clostridium acetobutylicum
Butanol	Production (export)	Clostridium beijerinckii
Butanol	Consumption (import)	Geobacter metallireducens
Butanol	Consumption (import)	Moorella thermoacetica
Butanol	Consumption (import)	Pelobacter carbinolicus
Butanol	Consumption (import)	Pelobacter propionicus
Butanol	Consumption (import)	Pelotomaculum thermopropionicum
Butanol	Consumption (import)	Syntrophobacter fumaroxidans
Butanol	Consumption (import)	Syntrophobotulus glycolicus
Butanol	Consumption (import)	Syntrophomonas wolfei
Butanol	Consumption (import)	Syntrophothermus lipocalidus
Butanol	Consumption (import)	Syntrophus aciditrophicus
Butylamine	Production (export)	Bacteroides ovatus
Butylamine	Production (export)	Bacteroides thetaiotaomicron
Butylamine	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Butyrate	Production (export)	Acidaminococcus fermentans
Butyrate	Production (export)	Anaerococcus hydrogenalis
Butyrate	Production (export)	Anaerococcus lactolyticus
Butyrate	Production (export)	Anaerococcus prevotii
Butyrate	Production (export)	Anaerococcus tetradius
Butyrate	Production (export)	Anaerococcus vaginalis
Butyrate	Production (export)	Anaerostipes caccae
Butyrate	Production (export)	Anaerotruncus colihominis
Butyrate	Production (export)	Bacteroides caccae
Butyrate	Production (export)	Bacteroides cellulosilyticus
Butyrate	Production (export)	Bacteroides coprocola
Butyrate	Production (export)	Bacteroides coprophilus
Butyrate	Production (export)	Bacteroides dorei
Butyrate	Production (export)	Bacteroides eggerthii
Butyrate	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)
Butyrate	Production (export)	Bacteroides fragilis
Butyrate	Production (export)	Bacteroides helcogenes
Butyrate	Production (export)	Bacteroides intestinalis
Butyrate	Production (export)	Bacteroides ovatus
Butyrate	Production (export)	Bacteroides pectinophilus
Butyrate	Production (export)	Bacteroides plebeius
Butyrate	Production (export)	Bacteroides salanitronis
Butyrate	Production (export)	Bacteroides stercoris
Butyrate	Production (export)	Bacteroides thetaiotaomicron
Butyrate	Production (export)	Bacteroides uniformis
Butyrate	Production (export)	Bacteroides vulgatus
Butyrate	Production (export)	Bacteroides xylanisolvens
Butyrate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Butyrate	Production (export)	Butyrivibrio crossotus
Butyrate	Production (export)	Butyrivibrio fibrisolvens
Butyrate	Production (export)	Butyrivibrio proteoclasticus
Butyrate	Production (export)	Catenibacterium mitsuokai
Butyrate	Production (export)	Clostridium acetobutylicum
Butyrate	Production (export)	Clostridium asparagiforme
Butyrate	Production (export)	Clostridium bartlettii
Butyrate	Production (export)	Clostridium beijerinckii
Butyrate	Production (export)	Clostridium bolteae
Butyrate	Production (export)	Clostridium botulinum
Butyrate	Production (export)	Clostridium butyricum
Butyrate	Production (export)	Clostridium carboxidivorans
Butyrate	Production (export)	Clostridium cellulolyticum
Butyrate	Production (export)	Clostridium cellulovorans
Butyrate	Production (export)	Clostridium cf
Butyrate	Production (export)	Clostridium difficile
Butyrate	Production (export)	Clostridium hathewayi
Butyrate	Production (export)	Clostridium hiranonis
Butyrate	Production (export)	Clostridium hylemonae
Butyrate	Production (export)	Clostridium kluyveri
Butyrate	Production (export)	Clostridium leptum
Butyrate	Production (export)	Clostridium ljungdahlii
Butyrate	Production (export)	Clostridium methylpentosum
Butyrate	Production (export)	Clostridium nexile
Butyrate	Production (export)	Clostridium novyi
Butyrate	Production (export)	Clostridium papyrosolvens
Butyrate	Production (export)	Clostridium perfringens
Butyrate	Production (export)	Clostridium phytofermentans
Butyrate	Production (export)	Clostridium saccharolyticum
Butyrate	Production (export)	Clostridium scindens
Butyrate	Production (export)	Clostridium sporogenes
Butyrate	Production (export)	Clostridium sticklandii
Butyrate	Production (export)	Clostridium symbiosum
Butyrate	Production (export)	Clostridium tetani
Butyrate	Production (export)	Clostridium thermocellum
Butyrate	Consumption (import)	Colonocyte (host colon)
Butyrate	Production (export)	Coprococcus catus
Butyrate	Production (export)	Coprococcus comes
Butyrate	Production (export)	Coprococcus eutactus
Butyrate	Consumption (import)	Desulfarculus baarsii
Butyrate	Consumption (import)	Desulfotomaculum acetoxidans
Butyrate	Consumption (import)	Desulfotomaculum nigrificans
Butyrate	Consumption (import)	Desulfotomaculum reducens
Butyrate	Consumption (import)	Desulfovibrio aespoeensis
Butyrate	Consumption (import)	Desulfovibrio desulfuricans
Butyrate	Consumption (import)	Desulfovibrio fructosovorans
Butyrate	Consumption (import)	Desulfovibrio magneticus
Butyrate	Consumption (import)	Desulfovibrio piger
Butyrate	Consumption (import)	Desulfovibrio salexigens
Butyrate	Consumption (import)	Desulfovibrio vulgaris
Butyrate	Production (export)	Enterococcus faecalis (Streptococcus faecalis)
Butyrate	Production (export)	Eubacterium cellulosolvens
Butyrate	Production (export)	Eubacterium eligens
Butyrate	Production (export)	Eubacterium hallii
Butyrate	Production (export)	Eubacterium limosum
Butyrate	Production (export)	Eubacterium rectale
Butyrate	Production (export)	Eubacterium saburreum
Butyrate	Production (export)	Eubacterium saphenum
Butyrate	Production (export)	Eubacterium siraeum
Butyrate	Production (export)	Eubacterium ventriosum
Butyrate	Production (export)	Faecalibacterium prausnitzii
Butyrate	Production (export)	Fusobacterium gonidiaformans
Butyrate	Production (export)	Fusobacterium mortiferum
Butyrate	Production (export)	Fusobacterium nucleatum
Butyrate	Production (export)	Fusobacterium periodonticum
Butyrate	Production (export)	Fusobacterium ulcerans
Butyrate	Production (export)	Fusobacterium varium
Butyrate	Consumption (import)	Geobacter metallireducens
Butyrate	Production (export)	Megasphaera micronuciformis
Butyrate	Production (export)	Odoribacter splanchnicus
Butyrate	Production (export)	Pelobacter propionicus
Butyrate	Consumption (import)	Pelotomaculum thermopropionicum
Butyrate	Production (export)	Peptoniphilus harei
Butyrate	Production (export)	Peptoniphilus lacrimalis
Butyrate	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
Butyrate	Production (export)	Roseburia intestinalis
Butyrate	Production (export)	Roseburia inulinivorans
Butyrate	Production (export)	Subdoligranulum variabile
Butyrate	Consumption (import)	Syntrophobacter fumaroxidans
Butyrate	Consumption (import)	Syntrophobotulus glycolicus
Butyrate	Consumption (import)	Syntrophomonas wolfei
Butyrate	Consumption (import)	Syntrophothermus lipocalidus
Butyrate	Consumption (import)	Syntrophus aciditrophicus
Ca2+ (Calcium)	Consumption (import)	Colonocyte (host colon)
Cadaverine	Production (export)	Campylobacter jejuni
Cadaverine	Production (export)	Clostridium saccharolyticum
Cadaverine	Production (export)	Enterobacter cloacae
Cadaverine	Production (export)	Escherichia coli
Caproate (Hexanoate)	Consumption (import)	Acidovorax avenae
Caproate (Hexanoate)	Consumption (import)	Acidovorax delafieldii
Caproate (Hexanoate)	Production (export)	Clostridium kluyveri
Caproate (Hexanoate)	Consumption (import)	Syntrophomonas wolfei
Carbon monoxide (CO)	Consumption (import)	Acetohalobium arabaticum
Carbon monoxide (CO)	Consumption (import)	Archaeoglobus fulgidus
Carbon monoxide (CO)	Consumption (import)	Colonocyte (host colon)
Carbon monoxide (CO)	Consumption (import)	Methanosarcina acetivorans
Carbon monoxide (CO)	Consumption (import)	Methanosarcina barkeri
Carbon monoxide (CO)	Consumption (import)	Methanosarcina mazei
Carbon monoxide (CO)	Consumption (import)	Methanothermobacter marburgensis
Carbon monoxide (CO)	Consumption (import)	Methanothermobacter thermautotrophicus
Carbon monoxide (CO)	Consumption (import)	Moorella thermoacetica
Cellobiose	Consumption (import)	Acetivibrio cellulolyticus
Cellobiose	Consumption (import)	Actinobacillus succinogenes
Cellobiose	Consumption (import)	Aeromicrobium marinum
Cellobiose	Consumption (import)	Aeromonas salmonicida
Cellobiose	Consumption (import)	Anaerotruncus colihominis
Cellobiose	Consumption (import)	Bacteroides ovatus
Cellobiose	Consumption (import)	Bacteroides thetaiotaomicron
Cellobiose	Consumption (import)	Bacteroides uniformis
Cellobiose	Consumption (import)	Bacteroides xylanisolvens
Cellobiose	Consumption (import)	Bifidobacterium adolescentis
Cellobiose	Consumption (import)	Bifidobacterium breve
Cellobiose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Cellobiose	Consumption (import)	Butyrivibrio fibrisolvens
Cellobiose	Consumption (import)	Butyrivibrio proteoclasticus
Cellobiose	Consumption (import)	Catenibacterium mitsuokai
Cellobiose	Consumption (import)	Clostridium acetobutylicum
Cellobiose	Consumption (import)	Clostridium cellulolyticum
Cellobiose	Consumption (import)	Clostridium thermocellum
Cellobiose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
Cellobiose	Consumption (import)	Collinsella intestinalis
Cellobiose	Consumption (import)	Collinsella stercoris
Cellobiose	Consumption (import)	Coprococcus eutactus
Cellobiose	Consumption (import)	Eubacterium rectale
Cellobiose	Consumption (import)	Eubacterium siraeum
Cellobiose	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)
Cellobiose	Consumption (import)	Flavobacterium johnsoniae
